IP,SSH,SAMBA,RDP
200.10.1.1,Cerrado,Cerrado,Cerrado
200.10.1.7,Abierto,Cerrado,Cerrado
200.10.1.36,Cerrado,Abierto,Cerrado
200.10.1.52,Cerrado,Abierto,Cerrado
200.10.1.59,Cerrado,Abierto,Abierto
200.10.1.68,Cerrado,Cerrado,Abierto
200.10.1.69,Cerrado,Cerrado,Abierto
200.10.1.71,Abierto,Abierto,Cerrado
200.10.1.78,Cerrado,Abierto,Abierto
200.10.1.86,Abierto,Abierto,Abierto
200.10.1.105,Abierto,Cerrado,Cerrado
200.10.1.131,Abierto,Cerrado,Cerrado
200.10.1.133,Abierto,Cerrado,Cerrado
200.10.1.134,Abierto,Cerrado,Cerrado
200.10.1.135,Abierto,Cerrado,Cerrado
200.10.1.140,Abierto,Cerrado,Cerrado
200.10.1.141,Abierto,Cerrado,Cerrado
200.10.1.192,Cerrado,Abierto,Abierto
200.10.1.201,Abierto,Cerrado,Cerrado
200.10.1.215,Cerrado,Cerrado,Cerrado
200.10.1.217,Cerrado,Cerrado,Cerrado
200.10.1.222,Cerrado,Cerrado,Cerrado
200.10.1.223,Cerrado,Cerrado,Cerrado
200.10.1.225,Cerrado,Cerrado,Cerrado
200.10.1.230,Cerrado,Cerrado,Cerrado
200.10.1.231,Abierto,Abierto,Cerrado
200.10.1.232,Abierto,Cerrado,Cerrado
200.10.1.233,Abierto,Abierto,Abierto
200.10.1.234,Abierto,Abierto,Abierto
200.10.1.235,Abierto,Cerrado,Cerrado
200.10.1.236,Abierto,Abierto,Abierto
200.10.1.250,Abierto,Abierto,Abierto
200.10.1.252,Cerrado,Cerrado,Cerrado
